date      , admin1       , admin2     , market                         , latitude    , longitude  , category             , commodity                  , unit  , priceflag, pricetype, currency, price   , usdprice
2006-01-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1480   ,  20.5041
2006-01-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    33.63,   0.4659
2006-01-15, Coast        , Mombasa    , Mombasa                        , -4.05       , 39.666667  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3246   ,  44.9705
2006-01-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    17   ,   0.2355
2006-01-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1800   ,  24.9374
2006-01-15, Eastern      , Kitui      , Kitui                          , -1.366667   , 38.016667  , pulses and nuts      , Beans (dry)                , KG    , actual   , Retail   , KES     ,    39   ,   0.5403
2006-01-15, Eastern      , Marsabit   , Marsabit                       , 2.333333    , 37.983333  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    21   ,   0.2909
2006-01-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Bread                      , 400 G , actual   , Retail   , KES     ,    26   ,   0.3602
2006-01-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Potatoes (Irish)           , 50 KG , actual   , Wholesale, KES     ,   664.43,   9.2052
2006-01-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1960   ,  27.1541
2006-01-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , milk and dairy       , "Milk (cow, pasteurized)"  , 500 ML, actual   , Retail   , KES     ,    22   ,   0.3048
2006-01-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , oil and fats         , Oil (vegetable)            , L     , actual   , Retail   , KES     ,   115   ,   1.5932
2006-01-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    42.31,   0.5862
2006-01-15, Nairobi      , Nairobi    , Nairobi                        , -1.283333   , 36.816667  , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  3175   ,  43.9869
2006-01-15, North Eastern, Mandera    , Mandera                        , 3.936804    , 41.858383  , cereals and tubers   , Maize (white)              , KG    , actual   , Retail   , KES     ,    30   ,   0.4156
2006-01-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Maize (white)              , 90 KG , actual   , Wholesale, KES     ,  1320   ,  18.2874
2006-01-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , cereals and tubers   , Sorghum                    , 90 KG , actual   , Wholesale, KES     ,  1600   ,  22.1666
2006-01-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans                      , KG    , actual   , Wholesale, KES     ,    39.61,   0.5487
2006-01-15, Nyanza       , Kisumu     , Kisumu                         , -0.1        , 34.75      , pulses and nuts      , Beans (dry)                , 90 KG , actual   , Wholesale, KES     ,  4000   ,  55.4165
